>>> Updated on: 2019-02-21T12:02:02Z <<<
tld,u-label,registry-operator,date-of-contract-signature,application-id,delegation-date
natura,,"NATURA COSMÉTICOS S.A.",2015-03-12,1-1781-73309,2016-02-11
navy,,"Dog Beach, LLC",2014-03-06,1-1255-53893,2014-06-04
nba,,"NBA REGISTRY, LLC",2015-07-31,1-1763-23748,2016-08-02
nec,,"NEC Corporation",2015-01-08,1-1665-55096,2015-05-09
netbank,,"COMMONWEALTH BANK OF AUSTRALIA",2014-06-26,1-1672-75814,2015-06-22
netflix,,"Netflix, Inc.",2015-06-18,1-1333-56033,2016-05-28
network,,"Binky Moon, LLC",2013-11-14,1-1572-10553,2014-08-22
neustar,,"Registry Services, LLC",2013-12-05,1-863-45071,2014-02-19
new,,"Charleston Road Registry Inc.",2014-01-30,1-1682-52941,2014-08-30
newholland,,"CNH Industrial N.V.",2015-09-03,1-2052-3417,2016-10-30
news,,"Dog Beach, LLC",2014-12-18,1-1573-27315,2015-03-21
next,,"Next plc",2015-06-18,1-1154-86661,2016-05-03
nextdirect,,"Next plc",2015-06-18,1-1154-75728,2016-05-03
nexus,,"Charleston Road Registry Inc.",2014-07-24,1-1099-20038,2014-09-15
nfl,,"NFL Reg Ops LLC",2015-07-23,1-1118-57681,2016-06-23
ngo,,"Public Interest Registry",2014-03-06,1-910-97160,2014-07-18
nhk,,"Japan Broadcasting Corporation (NHK)",2014-02-13,1-905-1298,2014-06-04
nico,,"DWANGO Co., Ltd.",2014-12-04,1-1805-20663,2015-02-10
nike,,"NIKE, Inc.",2015-07-23,1-1395-25808,2016-07-09
nikon,,"NIKON CORPORATION",2015-05-21,1-1808-6217,2016-01-28
ninja,,"Dog Beach, LLC",2013-11-07,1-1255-70047,2013-12-28
nissan,,"NISSAN MOTOR CO., LTD.",2014-03-27,1-1021-24248,2015-03-04
nissay,,"Nippon Life Insurance Company",2015-10-29,1-2093-82497,2016-03-30
nokia,,"Nokia Corporation",2015-01-08,1-957-83376,2015-07-15
northwesternmutual,,"Northwestern Mutual Registry, LLC",2015-06-18,1-1186-85299,2016-04-06
norton,,"Symantec Corporation",2014-12-04,1-1027-83460,2015-12-03
now,,"Amazon Registry Services, Inc.",2015-06-25,1-1316-48771,2016-06-07
nowruz,,"Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.",2014-09-04,1-2132-15133,2015-12-05
nowtv,,"Starbucks (HK) Limited",2015-05-14,1-1309-12985,2016-05-11
nra,,"NRA Holdings Company, INC.",2014-05-22,1-1013-27442,2014-07-18
nrw,,"Minds + Machines GmbH",2013-11-21,1-994-3470,2014-07-11
ntt,,"NIPPON TELEGRAPH AND TELEPHONE CORPORATION",2014-10-31,1-920-75151,2015-02-03
nyc,,"The City of New York by and through the New York City Department of Information Technology & Telecommunications",2014-01-23,1-1715-21938,2014-03-20
obi,,"OBI Group Holding SE & Co. KGaA",2014-09-25,1-1739-45800,2015-09-23
observer,,"Top Level Spectrum, Inc.",2015-04-30,1-1732-536,2016-09-27
off,,"Johnson Shareholdings, Inc.",2015-07-23,1-1248-7515,2016-07-21
office,,"Microsoft Corporation",2015-03-12,1-1129-34449,2015-06-23
okinawa,,"BRregistry, Inc.",2013-12-05,1-1147-43520,2014-03-02
olayan,,"Crescent Holding GmbH",2015-05-14,1-1017-44037,2016-05-03
olayangroup,,"Crescent Holding GmbH",2015-05-14,1-1017-54910,2016-05-06
oldnavy,,"The Gap, Inc.",2015-07-31,1-925-60784,2016-08-04
ollo,,"Dish DBS Corporation",2015-06-04,1-2010-64737,2016-05-27
omega,,"The Swatch Group Ltd",2015-01-08,1-2122-64214,2015-06-26
one,,"One.com A/S",2014-11-07,1-979-77610,2015-01-22
ong,,"Public Interest Registry",2014-03-06,1-910-64447,2014-07-27
onl,,"I-Registry Ltd.",2013-09-16,1-1003-27595,2013-12-28
online,,"DotOnline Inc.",2015-01-15,1-1070-97873,2015-03-16
onyourside,,"Nationwide Mutual Insurance Company",2015-07-23,1-2083-37948,2016-07-15
ooo,,"INFIBEAM AVENUES LIMITED",2014-01-09,1-1950-81778,2014-08-16
open,,"American Express Travel Related Services Company, Inc.",2015-07-31,1-1305-8942,2016-08-08
oracle,,"Oracle Corporation",2014-06-19,1-1785-25388,2015-03-03
orange,,"Orange Brand Services Limited",2015-03-12,1-958-59844,2015-07-09
organic,,"Afilias plc",2014-03-27,1-868-66930,2014-06-13
origins,,"The Estée Lauder Companies Inc.",2015-10-01,1-1898-34084,2015-12-24
osaka,,"Osaka Registry Co., Ltd.",2014-09-04,1-901-9391,2014-12-13
otsuka,,"Otsuka Holdings Co., Ltd.",2013-10-11,1-906-65402,2014-08-27
ott,,"Dish DBS Corporation",2015-06-04,1-2006-79052,2016-05-27
ovh,,"MédiaBC",2014-01-16,1-1074-68417,2014-06-19
page,,"Charleston Road Registry Inc.",2014-12-04,1-1682-55525,2015-03-16
panasonic,,"Panasonic Corporation",2015-07-30,1-915-75941,2016-07-15
paris,,"City of Paris",2014-01-30,1-1087-47153,2014-04-19
pars,,"Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.",2014-09-04,1-2127-79611,2015-12-07
partners,,"Binky Moon, LLC",2013-12-05,1-1576-29395,2014-02-04
parts,,"Binky Moon, LLC",2013-12-05,1-1577-85976,2014-02-11
party,,"Blue Sky Registry Limited",2014-09-11,1-1214-59403,2014-11-17
passagens,,"Travel Reservations SRL",2015-03-05,1-1249-57355,2016-03-02
pay,,"Amazon Registry Services, Inc.",2015-08-27,1-1317-64413,2016-08-10
pccw,,"PCCW Enterprises Limited",2015-05-14,1-1309-16706,2016-05-11
pet,,"Afilias plc",2015-05-07,1-868-95281,2015-07-26
pfizer,,"Pfizer Inc.",2015-09-11,1-1827-93225,2016-07-15
pharmacy,,"National Association of Boards of Pharmacy",2014-06-19,1-1040-55064,2014-09-05
phd,,"Charleston Road Registry Inc.",2016-07-28,1-1142-85390,2017-06-29
philips,,"Koninklijke Philips N.V.",2014-11-07,1-1748-81516,2015-05-09
phone,,"Dish DBS Corporation",2016-06-02,1-2011-80942,2016-12-20
photo,,"Uniregistry, Corp.",2013-11-14,1-845-871,2014-01-18
photography,,"Binky Moon, LLC",2013-09-20,1-1581-70192,2013-11-19
photos,,"Binky Moon, LLC",2013-10-17,1-1580-67148,2013-12-17
physio,,"PhysBiz Pty Ltd",2014-05-01,1-967-85854,2014-06-19
piaget,,"Richemont DNS Inc.",2014-10-16,1-1253-59416,2015-03-16
pics,,"Uniregistry, Corp.",2013-11-14,1-845-88170,2014-01-18
pictet,,"Pictet Europe S.A.",2014-06-26,1-1314-50545,2015-03-07
pictures,,"Binky Moon, LLC",2014-03-06,1-1585-29698,2014-04-11
pid,,"Top Level Spectrum, Inc.",2015-01-08,1-1279-3321,2015-12-22
pin,,"Amazon Registry Services, Inc.",2014-12-18,1-1317-59644,2015-12-05
ping,,"Ping Registry Provider, Inc.",2015-06-11,1-1833-90242,2015-10-29
pink,,"Afilias plc",2013-10-01,1-868-27848,2014-01-18
pioneer,,"Pioneer Corporation",2015-07-16,1-934-72221,2016-06-02
pizza,,"Binky Moon, LLC",2014-06-26,1-1583-6697,2014-08-27
place,,"Binky Moon, LLC",2014-04-24,1-1584-14507,2014-07-02
play,,"Charleston Road Registry Inc.",2015-03-05,1-1683-17546,2015-06-20
playstation,,"Sony Interactive Entertainment Inc.",2015-07-02,1-1738-53001,2015-11-07
plumbing,,"Binky Moon, LLC",2013-09-10,1-1586-62771,2013-11-14
plus,,"Binky Moon, LLC",2015-02-05,1-1589-56456,2015-03-24
pnc,,"PNC Domain Co., LLC",2015-07-02,1-1909-74251,2016-07-01
pohl,,"Deutsche Vermögensberatung Aktiengesellschaft DVAG",2014-06-23,1-904-3406,2014-09-27
poker,,"Afilias plc",2014-07-03,1-1013-94737,2014-10-15
politie,,"Politie Nederland",2015-08-20,1-1736-17699,2016-06-23
porn,,"ICM Registry PN LLC",2014-10-16,1-1108-8653,2014-12-06
pramerica,,"Prudential Financial, Inc.",2015-07-30,1-1329-24914,2016-07-28
praxi,,"Praxi S.p.A.",2013-12-05,1-873-25989,2014-07-22
press,,"DotPress Inc.",2014-04-03,1-1062-36956,2014-05-31
prime,,"Amazon Registry Services, Inc.",2015-06-25,1-1315-6810,2016-06-07
prod,,"Charleston Road Registry Inc.",2014-01-23,1-1680-83223,2014-08-29
productions,,"Binky Moon, LLC",2013-12-05,1-1590-83448,2014-02-11
prof,,"Charleston Road Registry Inc.",2014-07-24,1-1417-94253,2014-09-15
progressive,,"Progressive Casualty Insurance Company",2015-07-23,1-1269-35396,2016-04-20
promo,,"Afilias plc",2014-12-18,1-973-2576,2015-12-31
properties,,"Binky Moon, LLC",2013-12-05,1-1588-73251,2014-02-04
property,,"Uniregistry, Corp.",2014-05-22,1-845-65560,2014-08-16
protection,,"XYZ.COM LLC",2015-04-23,1-1027-42662,2015-09-13
pru,,"Prudential Financial, Inc.",2015-07-30,1-1329-41024,2016-07-28
prudential,,"Prudential Financial, Inc.",2015-07-30,1-1329-43577,2016-07-28
pub,,"Dog Beach, LLC",2013-12-12,1-1255-25091,2014-02-26
pwc,,"PricewaterhouseCoopers LLP",2015-10-29,1-1891-70526,2016-02-11
qpon,,"dotCOOL, Inc.",2013-11-14,1-2107-33929,2014-02-12
quebec,,"PointQuébec Inc",2013-12-19,1-1663-45909,2014-04-16
quest,,"Quest ION Limited",2015-03-26,1-1817-89377,2016-02-06
qvc,,"QVC, Inc.",2015-07-30,1-877-83686,2016-08-04
racing,,"Premier Registry Limited",2014-12-04,1-1200-70811,2015-04-03
radio,,"European Broadcasting Union (EBU)",2016-07-21,1-1083-39123,2016-10-12
raid,,"Johnson Shareholdings, Inc.",2015-07-23,1-1248-89181,2016-07-21
read,,"Amazon Registry Services, Inc.",2014-12-18,1-1317-97509,2015-12-05
realestate,,"dotRealEstate LLC",2015-09-11,1-907-1363,2016-05-23
realtor,,"Real Estate Domains LLC",2014-05-29,1-907-41079,2014-07-30
realty,,"Fegistry, LLC",2015-03-19,1-1913-14988,2015-07-01
recipes,,"Binky Moon, LLC",2013-10-17,1-1603-97736,2013-12-17
red,,"Afilias plc",2013-11-07,1-868-93793,2014-01-18
redstone,,"Redstone Haute Couture Co., Ltd.",2014-10-31,1-1321-41821,2015-03-28
redumbrella,,"Travelers TLD, LLC",2015-03-26,1-1894-74544,2015-12-11
rehab,,"Dog Beach, LLC",2014-03-06,1-1255-34333,2014-06-04
reise,,"Binky Moon, LLC",2014-03-13,1-892-71956,2014-05-22
reisen,,"Binky Moon, LLC",2014-03-06,1-1606-68851,2014-04-11
reit,,"National Association of Real Estate Investment Trusts, Inc.",2014-09-04,1-1760-71167,2014-11-12
reliance,,"Reliance Industries Limited",2015-04-02,1-1308-77805,2016-11-15
ren,,"Beijing Qianxiang Wangjing Technology Development Co., Ltd.",2013-12-12,1-924-11693,2014-03-27
rent,,"XYZ.COM LLC",2014-12-04,1-909-9048,2015-04-30
rentals,,"Binky Moon, LLC",2013-12-05,1-1600-90191,2014-02-04
repair,,"Binky Moon, LLC",2013-11-07,1-1611-39225,2013-12-28
report,,"Binky Moon, LLC",2013-12-05,1-1615-74729,2014-02-04
republican,,"Dog Beach, LLC",2014-03-20,1-1255-42012,2014-06-04
rest,,"Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable",2013-12-19,1-1712-32476,2014-04-02
restaurant,,"Binky Moon, LLC",2014-07-03,1-1610-3807,2014-08-08
review,,"dot Review Limited",2014-11-20,1-1208-90224,2015-03-25
reviews,,"Dog Beach, LLC",2013-09-13,1-1607-34771,2014-02-11
rexroth,,"Robert Bosch GMBH",2015-06-18,1-1943-50410,2015-12-24
rich,,"I-Registry Ltd.",2013-11-21,1-1003-1483,2014-01-18
richardli,,"Pacific Century Asset Management (HK) Limited",2015-05-14,1-1309-98748,2016-05-11
ricoh,,"Ricoh Company, Ltd.",2014-11-20,1-1101-5912,2015-06-22
rightathome,,"Johnson Shareholdings, Inc.",2015-07-23,1-1248-60975,2016-07-21
ril,,"Reliance Industries Limited",2015-04-02,1-1308-43524,2016-11-15
rio,,"Empresa Municipal de Informática SA - IPLANRIO",2014-02-27,1-1151-10158,2014-05-22
rip,,"Dog Beach, LLC",2014-07-10,1-1255-57953,2014-10-15
rmit,,"Royal Melbourne Institute of Technology",2015-11-19,1-2135-63522,2016-11-24
rocher,,"Ferrero Trading Lux S.A.",2014-12-18,1-1126-33363,2015-11-07
rocks,,"Dog Beach, LLC",2013-11-14,1-1131-85666,2014-04-10
rodeo,,"Minds + Machines Group Limited",2013-12-19,1-1110-28830,2014-03-31
rogers,,"Rogers Communications Canada Inc.",2015-08-06,1-1036-55073,2016-09-20
room,,"Amazon Registry Services, Inc.",2014-12-18,1-1317-22695,2015-12-05
rsvp,,"Charleston Road Registry Inc.",2014-05-08,1-1683-44078,2014-08-30
rugby,,"World Rugby Strategic Developments Limited",2016-12-15,1-994-63638,2017-04-07
ruhr,,"regiodot GmbH & Co. KG",2013-10-02,1-1753-50246,2013-12-10
run,,"Binky Moon, LLC",2015-03-19,1-1616-69474,2015-05-07
rwe,,"RWE AG",2015-04-02,1-1756-92979,2015-10-27
ryukyu,,"BRregistry, Inc.",2014-01-09,1-1147-46178,2014-04-03
saarland,,"dotSaarland GmbH",2013-12-12,1-893-50963,2014-04-02
safe,,"Amazon Registry Services, Inc.",2014-12-18,1-1317-39217,2015-12-05
safety,,"Safety Registry Services, LLC.",2015-01-08,1-1007-20096,2015-12-24
sakura,,"SAKURA Internet Inc.",2014-12-18,1-1163-37277,2015-07-02
sale,,"Dog Beach, LLC",2014-10-16,1-1617-57149,2014-12-25
salon,,"Binky Moon, LLC",2014-12-11,1-1618-18834,2015-12-05
samsclub,,"Wal-Mart Stores, Inc.",2015-07-31,1-1244-43641,2016-08-18
samsung,,"SAMSUNG SDS CO., LTD",2014-04-03,1-955-67484,2014-12-10
sandvik,,"Sandvik AB",2014-11-13,1-1941-6798,2015-05-27
sandvikcoromant,,"Sandvik AB",2014-11-07,1-2075-66439,2015-05-27
sanofi,,"Sanofi",2014-10-09,1-1872-16158,2015-07-24
sap,,"SAP AG",2014-03-27,1-1735-78954,2015-03-26
sarl,,"Binky Moon, LLC",2014-07-03,1-1624-75239,2014-08-08
sas,,"Research IP LLC",2015-04-02,1-1323-55150,2015-12-18
save,,"Amazon Registry Services, Inc.",2015-06-25,1-1317-82096,2016-06-07
saxo,,"Saxo Bank A/S",2014-10-31,1-1043-58809,2015-02-10
sbi,,"STATE BANK OF INDIA",2015-03-12,1-1029-42857,2016-04-16
sbs,,"SPECIAL BROADCASTING SERVICE CORPORATION",2014-11-07,1-1080-34634,2015-10-29
sca,,"SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ)",2014-03-13,1-1149-58739,2014-08-14
scb,,"The Siam Commercial Bank Public Company Limited (\"SCB\")",2014-02-20,1-1197-50009,2014-07-11
schaeffler,,"Schaeffler Technologies AG & Co. KG",2015-08-06,1-1749-12808,2015-12-24
schmidt,,"SCHMIDT GROUPE S.A.S.",2014-04-03,1-1114-79381,2014-07-03
scholarships,,"Scholarships.com, LLC",2014-04-24,1-1116-65830,2015-04-02
school,,"Binky Moon, LLC",2014-12-18,1-1622-67844,2015-02-19
schule,,"Binky Moon, LLC",2014-03-06,1-1627-1624,2014-04-22
schwarz,,"Schwarz Domains und Services GmbH & Co. KG",2014-09-18,1-1123-39254,2014-12-13
science,,"dot Science Limited",2014-09-11,1-1238-98669,2014-11-15
scjohnson,,"Johnson Shareholdings, Inc.",2015-07-23,1-1248-67439,2016-07-21
scor,,"SCOR SE",2014-10-31,1-1875-27045,2015-06-23
scot,,"Dot Scot Registry Limited",2014-01-23,1-1741-29613,2014-06-13
search,,"Charleston Road Registry Inc.",2016-06-09,1-1141-50966,2017-06-29
seat,,"SEAT, S.A. (Sociedad Unipersonal)",2014-05-22,1-1879-27918,2015-04-18
secure,,"Amazon Registry Services, Inc.",2015-08-27,1-1317-98508,2016-08-10
security,,"XYZ.COM LLC",2015-05-14,1-1027-69486,2015-09-17
seek,,"Seek Limited",2014-12-04,1-2098-16297,2015-08-11
select,,"iSelect Ltd",2015-10-08,1-1088-97737,2016-01-15
sener,,"Sener Ingeniería y Sistemas, S.A.",2014-10-24,1-1044-53079,2015-05-01
services,,"Binky Moon, LLC",2014-02-27,1-1628-41321,2014-04-11
ses,,"SES",2015-07-23,1-1122-77859,2016-07-09
seven,,"Seven West Media Ltd",2015-08-06,1-2094-72761,2015-09-26
sew,,"SEW-EURODRIVE GmbH & Co KG",2014-07-17,1-849-59039,2014-12-13
sex,,"ICM Registry SX LLC",2014-11-13,1-1106-79501,2015-04-18
sexy,,"Uniregistry, Corp.",2013-09-11,1-855-58140,2013-11-14
sfr,,"Societe Francaise du Radiotelephone - SFR",2015-08-13,1-1686-61159,2015-12-01
shangrila,,"Shangri‐La International Hotel Management Limited",2015-09-03,1-940-76333,2016-07-02
sharp,,"Sharp Corporation",2014-05-01,1-1733-97084,2015-12-05
shaw,,"Shaw Cablesystems G.P.",2015-04-23,1-1013-60745,2016-03-22
shell,,"Shell Information Technology International Inc",2015-07-30,1-1090-40748,2015-12-15
shia,,"Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.",2014-09-04,1-2129-23641,2015-12-05
shiksha,,"Afilias plc",2013-11-14,1-868-35885,2014-01-18
shoes,,"Binky Moon, LLC",2013-10-02,1-1630-4186,2013-12-17
shop,,"GMO Registry, Inc.",2016-04-08,1-890-65213,2016-05-23
shopping,,"Binky Moon, LLC",2016-03-31,1-845-21316,2016-06-21
shouji,,"QIHOO 360 TECHNOLOGY CO. LTD.",2015-01-08,1-974-38448,2016-03-30
show,,"Binky Moon, LLC",2015-03-05,1-1633-36635,2015-04-16
showtime,,"CBS Domains Inc.",2015-08-06,1-869-34582,2016-08-04
shriram,,"Shriram Capital Ltd.",2014-01-23,1-1857-52823,2014-12-30
silk,,"Amazon Registry Services, Inc.",2015-06-25,1-1315-37701,2016-06-07
sina,,"Sina Corporation",2015-03-12,1-950-30912,2016-03-30
singles,,"Binky Moon, LLC",2013-08-27,1-1634-15520,2013-11-06
site,,"DotSite Inc.",2015-01-15,1-1048-46315,2015-03-16
ski,,"Afilias plc",2015-04-09,1-1000-18032,2015-05-30
skin,,"L'Oréal",2015-01-15,1-1302-80853,2016-01-15
sky,,"Sky International AG",2014-06-19,1-991-90219,2014-12-12
skype,,"Microsoft Corporation",2014-12-18,1-1129-38236,2015-06-23
sling,,"DISH Technologies L.L.C.",2015-07-30,1-1999-59552,2016-08-10
smart,,"Smart Communications, Inc. (SMART)",2015-07-09,1-2139-55785,2016-07-15
smile,,"Amazon Registry Services, Inc.",2014-12-18,1-1317-10329,2015-12-05
sncf,,"Société Nationale des Chemins de fer Francais S N C F",2015-02-19,1-1871-30331,2015-06-03
soccer,,"Binky Moon, LLC",2015-03-26,1-1635-18982,2015-05-13
social,,"Dog Beach, LLC",2013-11-07,1-1255-66111,2014-01-14
softbank,,"SoftBank Group Corp.",2015-07-02,1-1807-31061,2016-01-16
software,,"Dog Beach, LLC",2014-03-20,1-1621-97265,2014-05-31
sohu,,"Sohu.com Limited",2013-12-19,1-933-39092,2014-03-25
solar,,"Binky Moon, LLC",2013-11-07,1-1623-664,2013-12-28
solutions,,"Binky Moon, LLC",2013-11-07,1-1620-15722,2013-12-28
song,,"Amazon Registry Services, Inc.",2015-02-26,1-1317-53837,2016-02-24
sony,,"Sony Corporation",2015-01-08,1-999-76968,2015-04-16
soy,,"Charleston Road Registry Inc.",2014-01-23,1-1139-58678,2014-04-19
space,,"DotSpace Inc.",2014-04-03,1-1072-65736,2014-05-30
sport,,"Global Association of International Sports Federations (GAISF)",2017-11-16,1-1012-71460,2018-01-10
spot,,"Amazon Registry Services, Inc.",2015-02-26,1-1317-50025,2016-02-19
spreadbetting,,"Dotspreadbetting Registry Limited",2014-12-11,1-2045-23929,2015-03-13
srl,,"InterNetX, Corp",2015-05-07,1-1013-93642,2015-07-24
srt,,"FCA US LLC.",2015-07-30,1-2059-70151,2016-07-28
stada,,"STADA Arzneimittel AG",2014-11-13,1-1089-42298,2015-09-13
staples,,"Staples, Inc.",2015-07-30,1-1954-61706,2016-07-15
star,,"Star India Private Limited",2015-01-08,1-2109-49205,2015-12-22
starhub,,"StarHub Ltd",2015-02-05,1-1127-53723,2015-06-22
statebank,,"STATE BANK OF INDIA",2015-03-12,1-1029-24289,2016-04-16
statefarm,,"State Farm Mutual Automobile Insurance Company",2015-07-30,1-1034-97709,2015-12-24
stc,,"Saudi Telecom Company",2014-10-09,1-1927-64607,2015-08-29
stcgroup,,"Saudi Telecom Company",2014-10-09,1-1932-58265,2015-08-28
stockholm,,"Stockholms kommun",2014-12-18,1-1078-1796,2015-09-26
storage,,"XYZ.COM LLC",2014-12-22,1-1687-62688,2015-12-18
store,,"DotStore Inc.",2015-04-09,1-1052-82517,2016-02-22
stream,,"dot Stream Limited",2016-01-08,1-1881-96350,2016-03-18
studio,,"Dog Beach, LLC",2015-02-11,1-1608-9291,2015-07-08
study,,"OPEN UNIVERSITIES AUSTRALIA PTY LTD",2014-12-11,1-2031-1961,2015-02-25
style,,"Binky Moon, LLC",2014-12-04,1-1602-30813,2015-02-04
sucks,,"Vox Populi Registry Ltd.",2014-12-22,1-2080-92776,2015-02-25
supplies,,"Binky Moon, LLC",2013-12-19,1-1601-42282,2014-02-25
supply,,"Binky Moon, LLC",2013-12-19,1-1591-23028,2014-02-21
support,,"Binky Moon, LLC",2013-10-24,1-1568-22230,2013-12-18
surf,,"Minds + Machines Group Limited",2014-01-09,1-1110-69902,2014-06-18
surgery,,"Binky Moon, LLC",2014-03-20,1-1569-96051,2014-04-23
suzuki,,"SUZUKI MOTOR CORPORATION",2014-02-20,1-1858-80460,2014-07-02
swatch,,"The Swatch Group Ltd",2015-01-08,1-2121-49660,2015-06-26
swiftcover,,"Swiftcover Insurance Services Limited",2015-07-23,1-1834-24645,2016-07-21
swiss,,"Swiss Confederation",2014-10-16,1-1328-58462,2015-04-29
sydney,,"State of New South Wales, Department of Premier and Cabinet",2014-09-18,1-1917-99809,2014-11-05
symantec,,"Symantec Corporation",2014-12-04,1-1027-75900,2015-12-03
systems,,"Binky Moon, LLC",2013-11-07,1-1565-27165,2013-12-17
tab,,"Tabcorp Holdings Limited",2014-12-04,1-2078-73725,2015-11-13
taipei,,"Taipei City Government",2014-07-10,1-1946-86958,2014-10-23
talk,,"Amazon Registry Services, Inc.",2015-04-09,1-1317-29107,2016-03-25
taobao,,"Alibaba Group Holding Limited",2015-01-15,1-1041-74793,2016-01-21
target,,"Target Domain Holdings, LLC",2015-07-31,1-1188-55951,2016-08-04
tatamotors,,"Tata Motors Ltd",2015-03-12,1-2148-25869,2015-07-24
tatar,,"Limited Liability Company \"Coordination Center of Regional Domain of Tatarstan Republic\"",2014-04-24,1-1664-2308,2014-08-07
tattoo,,"Uniregistry, Corp.",2013-08-30,1-845-15798,2013-11-14
tax,,"Binky Moon, LLC",2014-03-20,1-1562-9879,2014-04-23
taxi,,"Binky Moon, LLC",2015-03-19,1-1558-74769,2015-05-07
tci,,"Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.",2014-09-12,1-2133-18206,2015-12-05
tdk,,"TDK Corporation",2015-06-11,1-901-92814,2016-06-07
team,,"Binky Moon, LLC",2015-03-05,1-1559-19356,2015-04-16
tech,,"Personals TLD Inc.",2015-01-30,1-1670-76346,2015-03-21
technology,,"Binky Moon, LLC",2013-09-13,1-1639-5968,2013-11-14
telefonica,,"Telefónica S.A.",2014-10-16,1-1791-89073,2015-06-26
temasek,,"Temasek Holdings (Private) Limited",2014-08-07,1-848-96376,2015-01-24
tennis,,"Binky Moon, LLC",2014-12-04,1-1640-29241,2015-02-04
teva,,"Teva Pharmaceutical Industries Limited",2015-07-02,1-1081-27807,2016-04-13
thd,,"Home Depot Product Authority, LLC",2015-04-02,1-1095-68549,2015-05-22
theater,,"Binky Moon, LLC",2015-03-19,1-1641-67063,2015-05-06
theatre,,"XYZ.COM LLC",2015-05-07,1-1326-3558,2015-09-13
tiaa,,"Teachers Insurance and Annuity Association of America",2015-07-23,1-1501-39101,2016-07-20
tickets,,"Accent Media Limited",2015-02-05,1-2155-24150,2015-03-25
tienda,,"Binky Moon, LLC",2013-11-14,1-1646-17411,2014-01-23
tiffany,,"Tiffany and Company",2015-01-30,1-1266-93721,2016-01-21
tips,,"Binky Moon, LLC",2013-09-20,1-1644-52968,2013-11-19
tires,,"Binky Moon, LLC",2014-11-07,1-1645-45928,2014-12-18
tirol,,"punkt Tirol GmbH",2014-04-24,1-1703-3426,2014-06-04
tjmaxx,,"The TJX Companies, Inc.",2015-07-16,1-1764-20650,2016-07-15
tjx,,"The TJX Companies, Inc.",2015-07-16,1-1764-49592,2016-07-15
tkmaxx,,"The TJX Companies, Inc.",2015-07-16,1-1764-51316,2016-07-15
tmall,,"Alibaba Group Holding Limited",2015-01-15,1-1041-11077,2016-01-21
today,,"Binky Moon, LLC",2013-09-20,1-1643-67659,2013-11-19
tokyo,,"GMO Registry, Inc.",2013-11-13,1-890-25253,2014-01-29
tools,,"Binky Moon, LLC",2013-11-21,1-1653-6258,2014-01-23
top,,".TOP Registry",2014-03-20,1-1935-70970,2014-08-03
toray,,"Toray Industries, Inc.",2014-12-18,1-945-91406,2015-05-01
toshiba,,"TOSHIBA Corporation",2014-04-10,1-1102-7288,2015-02-04
total,,"Total SA",2015-08-06,1-1162-21667,2016-03-09
tours,,"Binky Moon, LLC",2015-01-22,1-1648-61876,2015-03-24
town,,"Binky Moon, LLC",2014-03-06,1-1655-79604,2014-04-11
toyota,,"TOYOTA MOTOR CORPORATION",2015-04-23,1-1717-25317,2015-07-26
toys,,"Binky Moon, LLC",2014-03-06,1-1650-66027,2014-04-11
trade,,"Elite Registry Limited",2014-01-23,1-1245-40343,2014-03-19
trading,,"Dottrading Registry Limited",2014-12-11,1-2047-17293,2015-03-13
training,,"Binky Moon, LLC",2013-11-07,1-1652-41660,2013-12-28
travelchannel,,"Lifestyle Domain Holdings, Inc.",2015-07-02,1-1326-13526,2016-06-23
travelers,,"Travelers TLD, LLC",2015-03-26,1-1841-77153,2015-12-05
travelersinsurance,,"Travelers TLD, LLC",2015-03-26,1-1895-33687,2015-12-15
trust,,"NCC Group Inc.",2014-10-16,1-1075-15763,2014-12-06
trv,,"Travelers TLD, LLC",2015-03-26,1-1893-86497,2015-12-11
tube,,"Latin American Telecom LLC",2015-06-11,1-926-88379,2016-01-11
tui,,"TUI AG",2014-07-03,1-874-4984,2014-09-27
tunes,,"Amazon Registry Services, Inc.",2015-02-26,1-1317-30761,2016-02-25
tushu,,"Amazon Registry Services, Inc.",2014-12-18,1-1318-59070,2015-12-14
tvs,,"T V SUNDRAM IYENGAR  & SONS LIMITED",2015-02-19,1-1862-71358,2016-02-13
ubank,,"National Australia Bank Limited",2015-08-20,1-1724-54856,2016-08-18
ubs,,"UBS AG",2014-12-11,1-1942-41146,2015-07-11
uconnect,,"FCA US LLC.",2015-07-30,1-2061-81662,2016-07-28
unicom,,"China United Network Communications Corporation Limited",2015-10-15,1-996-99850,2016-02-04
university,,"Binky Moon, LLC",2014-03-06,1-1651-77163,2014-04-11
uno,,"Dot Latin LLC",2013-09-11,1-881-92958,2013-11-30
uol,,"UBN INTERNET LTDA.",2014-05-01,1-1151-36619,2014-08-16
ups,,"UPS Market Driver, Inc.",2015-06-25,1-1874-94992,2016-05-31
vacations,,"Binky Moon, LLC",2013-12-05,1-1647-84596,2014-02-21
vana,,"Lifestyle Domain Holdings, Inc.",2014-12-11,1-1326-7776,2015-11-10
